1 08:00 AM Arrived at hub Scanned at hub
2 08:00 AM Arrived at hub Scanned at hub
3 08:00 AM Arrived at hub Scanned at hub
4 08:00 AM Arrived at hub Scanned at hub
5 08:00 AM Arrived at hub Scanned at hub
7 08:00 AM Arrived at hub Scanned at hub
8 08:00 AM Arrived at hub Scanned at hub
9 08:00 AM Arrived at hub Scanned at hub
10 08:00 AM Arrived at hub Scanned at hub
11 08:00 AM Arrived at hub Scanned at hub
12 08:00 AM Arrived at hub Scanned at hub
13 08:00 AM Arrived at hub Scanned at hub
14 08:00 AM Arrived at hub Scanned at hub
15 08:00 AM Arrived at hub Scanned at hub
16 08:00 AM Arrived at hub Scanned at hub
17 08:00 AM Arrived at hub Scanned at hub
18 08:00 AM Arrived at hub Scanned at hub
19 08:00 AM Arrived at hub Scanned at hub
20 08:00 AM Arrived at hub Scanned at hub
21 08:00 AM Arrived at hub Scanned at hub
22 08:00 AM Arrived at hub Scanned at hub
23 08:00 AM Arrived at hub Scanned at hub
24 08:00 AM Arrived at hub Scanned at hub
26 08:00 AM Arrived at hub Scanned at hub
27 08:00 AM Arrived at hub Scanned at hub
29 08:00 AM Arrived at hub Scanned at hub
30 08:00 AM Arrived at hub Scanned at hub
31 08:00 AM Arrived at hub Scanned at hub
33 08:00 AM Arrived at hub Scanned at hub
34 08:00 AM Arrived at hub Scanned at hub
35 08:00 AM Arrived at hub Scanned at hub
36 08:00 AM Arrived at hub Scanned at hub
37 08:00 AM Arrived at hub Scanned at hub
38 08:00 AM Arrived at hub Scanned at hub
39 08:00 AM Arrived at hub Scanned at hub
40 08:00 AM Arrived at hub Scanned at hub
3 08:00 AM Loaded on Truck 2 Scanned by driver
13 08:00 AM Loaded on Truck 1 Scanned by driver
14 08:00 AM Loaded on Truck 1 Scanned by driver
15 08:00 AM Loaded on Truck 1 Scanned by driver
16 08:00 AM Loaded on Truck 1 Scanned by driver
19 08:00 AM Loaded on Truck 1 Scanned by driver
20 08:00 AM Loaded on Truck 1 Scanned by driver
18 08:00 AM Loaded on Truck 2 Scanned by driver
36 08:00 AM Loaded on Truck 2 Scanned by driver
38 08:00 AM Loaded on Truck 2 Scanned by driver
37 08:00 AM Loaded on Truck 1 Scanned by driver
30 08:00 AM Loaded on Truck 1 Scanned by driver
1 08:00 AM Loaded on Truck 1 Scanned by driver
40 08:00 AM Loaded on Truck 1 Scanned by driver
31 08:00 AM Loaded on Truck 2 Scanned by driver
4 08:00 AM Loaded on Truck 1 Scanned by driver
21 08:00 AM Loaded on Truck 1 Scanned by driver
2 08:00 AM Loaded on Truck 1 Scanned by driver
33 08:00 AM Loaded on Truck 1 Scanned by driver
17 08:00 AM Loaded on Truck 1 Scanned by driver
7 08:00 AM Loaded on Truck 1 Scanned by driver
24 08:00 AM Loaded on Truck 2 Scanned by driver
27 08:00 AM Loaded on Truck 2 Scanned by driver
35 08:00 AM Loaded on Truck 2 Scanned by driver
11 08:00 AM Loaded on Truck 2 Scanned by driver
12 08:00 AM Loaded on Truck 2 Scanned by driver
23 08:00 AM Loaded on Truck 2 Scanned by driver
10 08:00 AM Loaded on Truck 2 Scanned by driver
29 08:00 AM Loaded on Truck 2 Scanned by driver
39 08:00 AM Loaded on Truck 2 Scanned by driver
26 08:00 AM Loaded on Truck 2 Scanned by driver
5 08:00 AM Loaded on Truck 2 Scanned by driver
14 08:01 AM Delivered by truck 1 Scanned by driver
15 08:03 AM Delivered by truck 1 Scanned by driver
16 08:03 AM Delivered by truck 1 Scanned by driver
20 08:08 AM Delivered by truck 1 Scanned by driver
19 08:09 AM Delivered by truck 1 Scanned by driver
13 08:17 AM Delivered by truck 1 Scanned by driver
37 08:20 AM Delivered by truck 1 Scanned by driver
30 08:21 AM Delivered by truck 1 Scanned by driver
1 08:25 AM Delivered by truck 1 Scanned by driver
40 08:27 AM Delivered by truck 1 Scanned by driver
4 08:27 AM Delivered by truck 1 Scanned by driver
21 08:28 AM Delivered by truck 1 Scanned by driver
2 08:30 AM Delivered by truck 1 Scanned by driver
33 08:30 AM Delivered by truck 1 Scanned by driver
17 08:34 AM Delivered by truck 1 Scanned by driver
7 08:40 AM Delivered by truck 1 Scanned by driver
38 08:06 AM Delivered by truck 2 Scanned by driver
3 08:07 AM Delivered by truck 2 Scanned by driver
36 08:15 AM Delivered by truck 2 Scanned by driver
18 08:19 AM Delivered by truck 2 Scanned by driver
31 08:23 AM Delivered by truck 2 Scanned by driver
24 08:27 AM Delivered by truck 2 Scanned by driver
27 08:36 AM Delivered by truck 2 Scanned by driver
35 08:36 AM Delivered by truck 2 Scanned by driver
11 08:43 AM Delivered by truck 2 Scanned by driver
12 08:51 AM Delivered by truck 2 Scanned by driver
23 08:58 AM Delivered by truck 2 Scanned by driver
10 09:09 AM Delivered by truck 2 Scanned by driver
29 09:12 AM Delivered by truck 2 Scanned by driver
39 09:20 AM Delivered by truck 2 Scanned by driver
26 09:32 AM Delivered by truck 2 Scanned by driver
5 09:41 AM Delivered by truck 2 Scanned by driver
